PRICE_NG_SPEC,PRICE_eMET_SPEC,PRICE_H2_SPEC,PRICE_NH3_SPEC,CC_VRE_VRE1,CC_VRE_VRE3,CC_ES_ES1,cluster,Fitness
50.0,227.0,132.0,78.0,142500.0,203100.0,10010.0,2,11123202.368341835
73.0,318.0,20.0,130.0,203000.0,203100.0,10010.0,1,10961419.593229927
64.0,182.0,170.0,130.0,142500.0,203100.0,21710.0,1,11490065.820101695
64.0,136.0,20.0,78.0,142500.0,203100.0,42380.0,1,10211651.862789316
50.0,318.0,20.0,78.0,203000.0,203100.0,42380.0,4,10741703.64809695
50.0,318.0,20.0,26.0,142500.0,355100.0,10010.0,2,11866666.15307434
64.0,227.0,20.0,78.0,115000.0,507000.0,10010.0,0,10387547.979434207
50.0,318.0,132.0,26.0,142500.0,203100.0,10010.0,0,11810075.548975212
50.0,227.0,57.0,26.0,115000.0,355100.0,10010.0,0,11274711.077260118
50.0,182.0,95.0,78.0,142500.0,355100.0,21710.0,4,11658798.480153557
73.0,273.0,20.0,78.0,115000.0,355100.0,10010.0,1,11932505.113270309
64.0,136.0,20.0,26.0,115000.0,355100.0,10010.0,0,10449243.079506284
73.0,136.0,132.0,130.0,115000.0,203100.0,42380.0,4,10482447.673790572
73.0,182.0,20.0,26.0,115000.0,355100.0,10010.0,0,10688194.12783828
73.0,273.0,57.0,130.0,115000.0,355100.0,21710.0,0,11325481.75573589
64.0,273.0,20.0,130.0,142500.0,355100.0,21710.0,0,10914703.860418651
50.0,182.0,20.0,130.0,115000.0,355100.0,21710.0,0,9991182.03350783
50.0,227.0,20.0,78.0,115000.0,507000.0,10010.0,0,10153423.940179553
50.0,182.0,57.0,78.0,142500.0,203100.0,42380.0,4,11141664.982210085
50.0,182.0,57.0,130.0,142500.0,203100.0,21710.0,2,10735098.027828306
73.0,182.0,20.0,26.0,115000.0,355100.0,10010.0,0,9860109.353604805
64.0,136.0,20.0,130.0,115000.0,507000.0,10010.0,1,10285083.13860277
73.0,182.0,170.0,130.0,203000.0,203100.0,21710.0,1,11530917.994212756
64.0,273.0,20.0,26.0,115000.0,507000.0,42380.0,0,10879184.37902249
73.0,182.0,20.0,130.0,115000.0,355100.0,10010.0,2,11934868.377363237
50.0,318.0,95.0,26.0,142500.0,355100.0,10010.0,2,11808478.087494263
73.0,227.0,170.0,26.0,115000.0,203100.0,21710.0,2,10462293.546729166
73.0,136.0,95.0,78.0,142500.0,355100.0,10010.0,0,11975770.445903389
64.0,136.0,20.0,26.0,115000.0,355100.0,21710.0,1,9265846.297520705
64.0,227.0,20.0,130.0,115000.0,355100.0,21710.0,0,11135021.523992684
64.0,136.0,20.0,26.0,115000.0,203100.0,42380.0,1,10704785.951210074
50.0,136.0,20.0,78.0,115000.0,355100.0,10010.0,3,9567619.400793962
64.0,273.0,20.0,130.0,142500.0,203100.0,21710.0,1,9714702.994636253
64.0,136.0,20.0,78.0,115000.0,203100.0,10010.0,4,9064216.366229087
64.0,136.0,20.0,78.0,115000.0,355100.0,10010.0,0,10215556.232928786
50.0,136.0,20.0,78.0,115000.0,203100.0,10010.0,4,8577777.627920236
64.0,227.0,170.0,78.0,115000.0,203100.0,21710.0,0,11248354.51819697
50.0,318.0,95.0,26.0,142500.0,203100.0,21710.0,2,10556783.641673714
73.0,182.0,20.0,26.0,115000.0,203100.0,21710.0,2,9276840.426653877
73.0,136.0,20.0,130.0,115000.0,203100.0,10010.0,1,8215164.731483909
50.0,136.0,57.0,130.0,142500.0,203100.0,42380.0,4,11670234.241230153
73.0,227.0,20.0,26.0,115000.0,203100.0,42380.0,0,11558792.689016148
73.0,136.0,20.0,26.0,203000.0,355100.0,42380.0,3,10697454.747735985
50.0,227.0,20.0,130.0,203000.0,355100.0,21710.0,0,10597893.997320617
64.0,136.0,170.0,26.0,115000.0,507000.0,10010.0,0,11871674.453037858
64.0,182.0,20.0,26.0,115000.0,507000.0,10010.0,0,11071334.766927246
50.0,273.0,20.0,130.0,115000.0,203100.0,42380.0,4,10429820.719311994
50.0,227.0,20.0,130.0,115000.0,507000.0,10010.0,0,10023025.74362424
73.0,182.0,20.0,130.0,115000.0,203100.0,42380.0,1,11163653.341511948
64.0,318.0,20.0,78.0,142500.0,355100.0,10010.0,1,10401995.655731738
50.0,136.0,132.0,26.0,115000.0,203100.0,42380.0,2,11287245.23337841
50.0,136.0,95.0,78.0,142500.0,203100.0,42380.0,3,11071517.295485882
64.0,182.0,95.0,78.0,203000.0,203100.0,10010.0,2,11816706.989863904
64.0,136.0,20.0,26.0,142500.0,355100.0,10010.0,1,10278235.178483175
73.0,318.0,95.0,26.0,142500.0,203100.0,42380.0,2,10929292.252758233
50.0,182.0,20.0,130.0,115000.0,355100.0,21710.0,0,9378051.944991928
50.0,182.0,20.0,78.0,115000.0,355100.0,21710.0,0,9888189.443709852
64.0,318.0,95.0,130.0,115000.0,203100.0,42380.0,0,11776451.845778445
73.0,182.0,170.0,130.0,115000.0,203100.0,21710.0,1,10973884.221104188
50.0,136.0,20.0,78.0,115000.0,203100.0,10010.0,4,8674902.386958579
64.0,227.0,20.0,78.0,142500.0,355100.0,10010.0,2,11473832.861405691
50.0,136.0,170.0,26.0,115000.0,355100.0,10010.0,1,11751789.148338735
64.0,136.0,95.0,130.0,142500.0,203100.0,10010.0,2,10672333.03945722
50.0,136.0,20.0,78.0,115000.0,203100.0,21710.0,4,9204076.645887293
50.0,136.0,20.0,78.0,115000.0,355100.0,21710.0,2,10998818.228879657
50.0,318.0,132.0,78.0,203000.0,203100.0,10010.0,4,10470711.43892478
50.0,318.0,20.0,78.0,115000.0,355100.0,10010.0,0,10681856.169740852
73.0,182.0,20.0,26.0,115000.0,203100.0,10010.0,0,9147176.69513749
50.0,318.0,95.0,26.0,142500.0,203100.0,42380.0,2,10857490.266851343
73.0,318.0,20.0,130.0,142500.0,203100.0,10010.0,1,9422960.005078282
73.0,182.0,20.0,78.0,203000.0,355100.0,10010.0,0,10723637.595952526
50.0,318.0,132.0,26.0,142500.0,203100.0,10010.0,0,11810075.548975212
64.0,227.0,20.0,130.0,203000.0,203100.0,10010.0,0,9512088.225268437
73.0,227.0,170.0,78.0,115000.0,203100.0,42380.0,2,11343243.616923671
64.0,227.0,20.0,78.0,115000.0,507000.0,21710.0,0,9550888.5845878
64.0,273.0,20.0,78.0,142500.0,355100.0,21710.0,0,11741267.712457988
50.0,136.0,20.0,130.0,115000.0,203100.0,42380.0,4,10272053.63062978
73.0,273.0,57.0,26.0,115000.0,355100.0,42380.0,0,11933891.058436394
64.0,273.0,20.0,130.0,142500.0,203100.0,21710.0,0,10602479.931281416
64.0,227.0,20.0,78.0,115000.0,507000.0,10010.0,0,9298731.709359264
64.0,182.0,20.0,78.0,115000.0,203100.0,21710.0,2,10359354.69075932
64.0,182.0,95.0,130.0,115000.0,203100.0,21710.0,2,10423139.92296931
64.0,182.0,95.0,130.0,203000.0,203100.0,21710.0,2,11211462.550109155
73.0,227.0,20.0,78.0,142500.0,203100.0,42380.0,2,10525110.948634535
73.0,182.0,20.0,78.0,203000.0,355100.0,21710.0,1,11152894.582585722
64.0,136.0,95.0,130.0,115000.0,203100.0,21710.0,2,9855773.201789455
73.0,227.0,170.0,26.0,142500.0,203100.0,10010.0,4,9930193.69596504
64.0,182.0,20.0,78.0,115000.0,355100.0,10010.0,0,9729354.03012507
50.0,318.0,20.0,78.0,203000.0,355100.0,10010.0,0,11365724.451399315
64.0,136.0,20.0,130.0,142500.0,203100.0,10010.0,0,9406858.17137574
50.0,182.0,95.0,26.0,142500.0,203100.0,42380.0,0,11255914.348433372
64.0,136.0,20.0,78.0,142500.0,355100.0,10010.0,1,11680382.457144149
50.0,182.0,20.0,26.0,115000.0,507000.0,10010.0,0,9381071.846208464
64.0,136.0,20.0,26.0,115000.0,203100.0,10010.0,0,8653939.812852222
50.0,318.0,20.0,78.0,142500.0,355100.0,10010.0,2,10413673.961508252
64.0,182.0,20.0,130.0,203000.0,203100.0,10010.0,1,10846897.467110042
50.0,182.0,170.0,26.0,115000.0,203100.0,42380.0,4,10237963.13646026
50.0,318.0,20.0,26.0,115000.0,203100.0,42380.0,4,10284821.77702463
64.0,273.0,20.0,130.0,115000.0,355100.0,10010.0,0,10623178.386964915
50.0,227.0,132.0,130.0,142500.0,203100.0,42380.0,2,11767643.514567142
64.0,318.0,20.0,78.0,115000.0,355100.0,10010.0,0,10351147.62879057
73.0,182.0,20.0,26.0,203000.0,203100.0,42380.0,1,10376962.151181202
73.0,273.0,20.0,26.0,142500.0,355100.0,10010.0,0,10497810.816878833
50.0,182.0,20.0,130.0,142500.0,203100.0,21710.0,2,10677051.439149069
73.0,227.0,170.0,26.0,203000.0,203100.0,10010.0,4,10667505.463576244
64.0,136.0,20.0,78.0,142500.0,203100.0,42380.0,2,9459948.003520824
50.0,318.0,20.0,26.0,142500.0,355100.0,10010.0,2,11879816.785616422
50.0,136.0,170.0,78.0,115000.0,203100.0,21710.0,4,9888352.760609817
73.0,182.0,20.0,26.0,115000.0,203100.0,21710.0,2,9096044.574913437
50.0,182.0,20.0,130.0,115000.0,203100.0,10010.0,0,8726368.862600865
64.0,182.0,132.0,78.0,142500.0,203100.0,10010.0,4,10674607.580507807
50.0,136.0,20.0,78.0,115000.0,355100.0,10010.0,4,9114872.253403414
73.0,227.0,170.0,26.0,142500.0,203100.0,10010.0,3,10234012.207685728
64.0,227.0,20.0,26.0,115000.0,203100.0,10010.0,1,9303949.575313454
64.0,136.0,20.0,26.0,142500.0,203100.0,10010.0,0,10189571.786874345
50.0,227.0,20.0,26.0,203000.0,355100.0,10010.0,1,10584737.616585892
64.0,136.0,170.0,78.0,115000.0,355100.0,10010.0,0,11086122.76059631
64.0,182.0,20.0,78.0,142500.0,355100.0,42380.0,1,11321046.730460772
64.0,227.0,20.0,130.0,115000.0,507000.0,21710.0,0,9879733.179448605
64.0,182.0,170.0,78.0,115000.0,203100.0,10010.0,2,10892628.033139603
64.0,227.0,20.0,78.0,142500.0,355100.0,10010.0,0,10151605.340646394
64.0,136.0,20.0,26.0,115000.0,507000.0,10010.0,0,9591569.192691537
64.0,318.0,20.0,78.0,142500.0,507000.0,10010.0,0,10098766.116705049
64.0,136.0,20.0,26.0,115000.0,203100.0,10010.0,1,8770346.659019731
64.0,136.0,20.0,130.0,115000.0,203100.0,42380.0,1,9984911.547765758
64.0,273.0,20.0,78.0,142500.0,355100.0,21710.0,4,11592942.645370668
64.0,273.0,20.0,26.0,203000.0,203100.0,21710.0,0,9431794.524616793
64.0,273.0,170.0,26.0,115000.0,203100.0,10010.0,0,9501465.217498813
64.0,318.0,20.0,78.0,115000.0,355100.0,10010.0,0,10410229.50443979
73.0,136.0,95.0,26.0,142500.0,355100.0,10010.0,1,10788733.369992876
73.0,227.0,170.0,26.0,142500.0,203100.0,10010.0,4,9860218.845095398
73.0,227.0,132.0,26.0,115000.0,203100.0,21710.0,2,10436541.520161605
50.0,182.0,20.0,130.0,142500.0,203100.0,21710.0,2,10490099.10950412
73.0,227.0,20.0,26.0,203000.0,355100.0,21710.0,1,10817675.169524968
64.0,318.0,20.0,78.0,115000.0,203100.0,21710.0,1,10804205.048700282
64.0,136.0,20.0,78.0,203000.0,203100.0,10010.0,4,9324562.368998516
50.0,136.0,170.0,26.0,203000.0,355100.0,10010.0,4,11576423.0424352
73.0,182.0,20.0,130.0,115000.0,355100.0,21710.0,0,11604862.983277077
64.0,318.0,57.0,26.0,115000.0,203100.0,10010.0,0,9910561.679391133
73.0,136.0,20.0,130.0,142500.0,203100.0,21710.0,1,9372722.194912013
64.0,136.0,20.0,26.0,115000.0,203100.0,42380.0,0,11946739.420746293
50.0,318.0,20.0,26.0,203000.0,203100.0,42380.0,4,10831477.749628408
50.0,136.0,20.0,78.0,142500.0,355100.0,10010.0,4,9479954.103547735
73.0,182.0,170.0,130.0,115000.0,203100.0,21710.0,1,10582904.925920758
50.0,136.0,20.0,130.0,142500.0,355100.0,21710.0,0,10914703.850026485
64.0,273.0,20.0,78.0,115000.0,355100.0,10010.0,3,9914256.83556464
73.0,273.0,20.0,26.0,142500.0,203100.0,10010.0,0,9850854.89992696
64.0,136.0,57.0,78.0,142500.0,355100.0,10010.0,3,11663346.699945634
73.0,182.0,20.0,26.0,115000.0,203100.0,10010.0,0,9115803.48356057
50.0,136.0,20.0,78.0,115000.0,203100.0,21710.0,4,9404400.09571892
73.0,136.0,20.0,26.0,203000.0,203100.0,42380.0,0,11894966.517572105
64.0,136.0,20.0,26.0,115000.0,355100.0,42380.0,0,9851049.789304532
50.0,318.0,95.0,26.0,115000.0,507000.0,10010.0,2,11050244.873144072
50.0,273.0,57.0,130.0,142500.0,203100.0,10010.0,0,10432042.140988402
64.0,136.0,20.0,26.0,203000.0,203100.0,10010.0,0,9082943.004198754
50.0,136.0,20.0,78.0,115000.0,203100.0,10010.0,4,8874015.625441484
64.0,136.0,20.0,26.0,115000.0,203100.0,21710.0,1,9506111.312028129
50.0,136.0,20.0,78.0,115000.0,355100.0,10010.0,0,9848664.243117817
